# scan = 505
# date = 5/3/2024
# time = 12:11:45 PM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 1 k 0 l 0 e 0.1 2.9 0.1 preset mcu 60
# builtin_command = scan h 1 k 0 l 0 e 0.1 2.9 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = inelastic scans in H0L plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.027293,5.027293,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.142605,-0.075642,0.056767,-0.179972,-0.092589,-0.045001,0.005468,-0.196116,-0.000650
# mode = 0
# plane_normal = 0.021815,0.013086,0.999676
# ubconf = UB03May2024_95238AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
      1     1.0000    -0.0000     0.0000     0.1000     54.924     72.000 132001.000     60.000   113.6641   134.7310   -90.5379     0.4200    -1.0000    25.6200   -17.5450    66.9085    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     3.6000     3.5000     1.4932     1.4630     1.000
      2     1.0000     0.0000    -0.0000     0.2000     66.843      9.000 132001.000     60.000   112.1105   135.5126   -88.9748     0.4200    -1.0000    25.8560   -17.2050    66.3744    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     3.7000     3.5000     1.4928     1.4695     1.000
      3     1.0000    -0.0000    -0.0000     0.3000     69.257      2.000 132001.000     60.000   110.6241   136.2534   -87.4932     0.4200    -1.0000    26.0880   -16.8675    65.8478    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     3.8000     3.5000     1.4932     1.4676     1.000
      4     1.0000     0.0000     0.0000     0.4000     58.422      4.000 132001.000     60.000   109.2012   136.9570   -86.0861     0.4200    -1.0000    26.3160   -16.5300    65.3285    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     3.9000     3.5000     1.4930     1.4685     1.000
      5     1.0000    -0.0000    -0.0000     0.5000     55.910      2.000 132001.000     60.000   107.8384   137.6264   -84.7472     0.4200    -1.0000    26.5400   -16.1925    64.8160    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     4.0000     3.5000     1.4930     1.4652     1.000
      6     1.0000    -0.0000     0.0001     0.6000     55.049      3.000 132001.000     60.000   106.5093   138.2646   -83.4709     0.4200    -1.0000    26.7640   -15.8575    64.3098    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     4.1000     3.5000     1.4906     1.4661     1.000
      7     1.0000    -0.0000    -0.0000     0.7000     54.405      1.000 132001.000     60.000   105.2354   138.8738   -82.2523     0.4200    -1.0000    26.9840   -15.5200    63.8097    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     4.2000     3.5000     1.4893     1.4622     1.000
      8     1.0000    -0.0000    -0.0000     0.8000     53.715      1.000 132001.000     60.000   104.0140   139.4564   -81.0872     0.4200    -1.0000    27.2000   -15.1850    63.3153    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     4.3000     3.5000     1.4891     1.4636     1.000
      9     1.0000    -0.0000    -0.0000     0.9000     53.113      0.000 132001.000     60.000   102.8206   140.0142   -79.9715     0.4200    -1.0000    27.4160   -14.8500    62.8264    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     4.4000     3.5000     1.4884     1.4657     1.000
     10     1.0000     0.0000     0.0000     1.0000     52.674      1.000 132001.000     60.000   101.6756   140.5490   -78.9019     0.4200    -1.0000    27.6280   -14.5175    62.3425    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4432     4.5000     3.5000     1.4887     1.4641     1.000
